= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Concrete Compressive Strength = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"lightgbm","Light Gradient Boosting Machine","3.201","21.95","4.636","0.9215","0.1511","0.1106","0.132"
"et","Extra Trees Regressor","3.253","23.46","4.798","0.9166","0.1527","0.1128","0.059"
"xgboost","Extreme Gradient Boosting","3.224","23.47","4.772","0.9161","0.1525","0.1109","0.044"
"gbr","Gradient Boosting Regressor","3.764","27.61","5.234","0.9008","0.1634","0.1295","0.042"
"rf","Random Forest Regressor","3.662","28.2","5.233","0.8993","0.1679","0.129","0.212"
"dt","Decision Tree Regressor","4.547","43.9","6.535","0.8442","0.2165","0.158","0.024"
"ada","AdaBoost Regressor","6.183","57.28","7.525","0.7944","0.2782","0.2605","0.039"
"knn","K Neighbors Regressor","7.408","94.28","9.666","0.6628","0.3208","0.2892","0.028"
"lar","Least Angle Regression","8.363","113.1","10.61","0.5892","0.3398","0.3216","0.022"
"ridge","Ridge Regression","8.363","113.1","10.61","0.5892","0.3398","0.3216","0.026"
"lr","Linear Regression","8.363","113.1","10.61","0.5892","0.3398","0.3216","0.785"
"en","Elastic Net","8.366","113.1","10.61","0.589","0.3404","0.3223","0.023"
"lasso","Lasso Regression","8.371","113.2","10.62","0.5886","0.3407","0.3228","0.024"
"llar","Lasso Least Angle Regression","8.371","113.2","10.62","0.5886","0.3407","0.3228","0.027"
"br","Bayesian Ridge","8.361","113.2","10.62","0.5882","0.3415","0.3231","0.022"
"huber","Huber Regressor","8.249","115.6","10.74","0.5782","0.3333","0.3138","0.041"
"omp","Orthogonal Matching Pursuit","11.98","215.4","14.63","0.2293","0.4756","0.5073","0.021"
"dummy","Dummy Regressor","13.63","286.3","16.87","-0.0195","0.5409","0.6102","0.008"
"par","Passive Aggressive Regressor","14.94","314.6","17.42","-0.1633","0.6928","0.5071","0.026"



= = = = = Medical Cost Personal = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","2702","2.355e+07","4833","0.832","0.4447","0.3137","0.049"
"rf","Random Forest Regressor","2771","2.542e+07","5029","0.8172","0.469","0.3303","0.093"
"lightgbm","Light Gradient Boosting Machine","2992","2.552e+07","5042","0.8149","0.5378","0.3751","0.123"
"et","Extra Trees Regressor","2833","2.843e+07","5306","0.7991","0.4877","0.3363","0.086"
"ada","AdaBoost Regressor","4316","2.922e+07","5398","0.7903","0.6368","0.7394","0.025"
"xgboost","Extreme Gradient Boosting","3278","3.163e+07","5599","0.7709","0.5733","0.4208","0.039"
"br","Bayesian Ridge","4311","3.839e+07","6177","0.7306","0.591","0.4447","0.022"
