= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets (Part 2) = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Electric Vehicle Population Data = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"et","Extra Trees Regressor","8.434","731","26.94","0.9227","0.6584","0.1872","0.171"
"ridge","Ridge Regression","27.36","1179","34.34","0.8751","1.989","0.5502","0.134"
"br","Bayesian Ridge","27.36","1179","34.34","0.8751","1.989","0.5501","0.058"
"lr","Linear Regression","27.43","1210","34.76","0.872","1.986","0.5531","0.146"
"lasso","Lasso Regression","30.08","1420","37.68","0.8496","2.147","0.4869","0.163"
"llar","Lasso Least Angle Regression","30.08","1420","37.68","0.8496","2.147","0.4869","0.082"
"gbr","Gradient Boosting Regressor","17.51","1607","40.03","0.83","1.25","0.4127","0.293"
"xgboost","Extreme Gradient Boosting","17.3","1824","42.66","0.807","1.288","0.3797","0.134"
"lightgbm","Light Gradient Boosting Machine","18.93","1872","43.21","0.8019","1.343","0.4694","0.208"
"rf","Random Forest Regressor","18.97","1914","43.7","0.7974","1.355","0.4812","0.284"
"dt","Decision Tree Regressor","18.91","1918","43.75","0.7971","1.356","0.4829","0.064"
"ada","AdaBoost Regressor","24.18","2077","45.54","0.78","1.401","0.6178","0.107"
"en","Elastic Net","39.57","2620","51.18","0.7226","2.433","0.5165","0.092"
"omp","Orthogonal Matching Pursuit","50.82","5923","76.91","0.3732","2.408","0.4162","0.076"
"knn","K Neighbors Regressor","59.53","7129","84.41","0.2443","2.394","1.365","0.069"
"dummy","Dummy Regressor","81.99","9469","97.28","-0.0015","2.982","1.109","0.066"
"huber","Huber Regressor","69.95","1.222e+04","110.5","-0.2911","2.411","0.6948","0.071"
"par","Passive Aggressive Regressor","121.2","2.53e+04","154.3","-1.649","3.459","2.383","0.063"
"lar","Least Angle Regression","2.477e+13","2.482e+30","6.554e+14","-2.447e+26","7.269","2.032e+11","0.071"



= = = = = Graduate Admission 2 = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"gbr","Gradient Boosting Regressor","0.0396","0.0028","0.0522","0.8434","0.032","0.0623","0.026"
"xgboost","Extreme Gradient Boosting","0.0408","0.0032","0.0549","0.8247","0.0337","0.0644","0.025"
"lightgbm","Light Gradient Boosting Machine","0.0407","0.0032","0.0554","0.8232","0.0341","0.0641","0.065"
"ridge","Ridge Regression","0.0436","0.0035","0.0573","0.8079","0.0351","0.0689","0.006"
"lr","Linear Regression","0.0436","0.0035","0.0573","0.8077","0.0351","0.0688","0.008"
"lar","Least Angle Regression","0.0436","0.0035","0.0573","0.8077","0.0351","0.0688","0.007"
"br","Bayesian Ridge","0.0437","0.0035","0.0574","0.8077","0.0351","0.0691","0.007"
