= = = = = = = = = = = = = = = = = = = = = = = = = = = =
= = = = = Regression Benchmarks for Datasets (Part 3) = = = = =
= = = = = = = = = = = = = = = = = = = = = = = = = = = =



= = = = = Group 1 High Row-to-Size Cohort = = = = =
= = = = =  (Computational Efficiency) = = = = =


= = = = = Credit Card Spending Habits In India = = = = =

"INDEX","MODEL","MAE","MSE","RMSE","R2","RMSLE","MAPE","TT (SEC)"
"ada","AdaBoost Regressor","7.797e+04","8.605e+09","9.274e+04","0.2653","1.004","2.328","0.079"
"gbr","Gradient Boosting Regressor","8.025e+04","9.461e+09","9.723e+04","0.1936","1.017","2.357","0.264"
"rf","Random Forest Regressor","8.188e+04","9.981e+09","9.988e+04","0.1485","1.029","2.384","0.956"
"lightgbm","Light Gradient Boosting Machine","8.142e+04","1.005e+10","1.002e+05","0.1432","1.022","2.376","0.12"
"xgboost","Extreme Gradient Boosting","8.33e+04","1.077e+10","1.037e+05","0.0818","1.044","2.401","0.088"
"et","Extra Trees Regressor","8.502e+04","1.106e+10","1.051e+05","0.0571","1.049","2.405","0.569"
"dummy","Dummy Regressor","8.158e+04","1.181e+10","1.085e+05","-0.0007","1.029","2.448","0.038"
"huber","Huber Regressor","8.208e+04","1.188e+10","1.088e+05","-0.0063","1.024","2.39","0.053"
"lr","Linear Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.608"
"lasso","Lasso Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.062"
"lar","Least Angle Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.038"
"llar","Lasso Least Angle Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.04"
"ridge","Ridge Regression","8.47e+04","1.233e+10","1.109e+05","-0.0462","1.044","2.446","0.038"
"omp","Orthogonal Matching Pursuit","8.329e+04","1.236e+10","1.11e+05","-0.0465","1.035","2.45","0.04"
"en","Elastic Net","8.445e+04","1.245e+10","1.115e+05","-0.0558","1.044","2.454","0.039"
"br","Bayesian Ridge","8.455e+04","1.257e+10","1.12e+05","-0.0653","1.044","2.458","0.041"
"knn","K Neighbors Regressor","8.861e+04","1.32e+10","1.148e+05","-0.1209","1.06","2.397","0.057"
"dt","Decision Tree Regressor","1.047e+05","1.705e+10","1.305e+05","-0.4542","1.386","2.579","0.073"
